ID,CONAME,gvkey,TWITTER ACCOUNT,Account
1421,K2 INC,001677,@K2onK2,Green
1422,UNITED SURGICAL PRTNRS INTL,142459,@United_Surgical,Green
1423,VIASAT INC,064088,@ViaSatInc,Green
1424,MICROS SYSTEMS INC,007331,@MicrosFidelio,Green
1425,TIMKENSTEEL CORP,020011,@TimkenSteel,Blue
1426,MICROSEMI CORP,007346,@MicrosemiSoC,Green
1427,SNYDERS-LANCE INC,006574,@LanceSnacks,Blue
1428,EASTGROUP PROPERTIES,004193,,N/A
1429,FAIR ISAAC CORP,013824,@FICO,Green
1430,CAREER EDUCATION CORP,066379,@ctuniversity,Blue
1431,MEDICIS PHARMACEUT CP  -CL A,021186,,N/A
1432,PARKER DRILLING CO,008357,,N/A
1433,RAYONIER ADVANCED MATERIALS,020502,,N/A
1434,INFORMATICA CORP,120134,@Informatica,Green
1435,SYNIVERSE HOLDINGS INC,158473,@Syniverse,Blue
1436,ARCH CHEMICALS INC,117862,@LonzaGroup,Green
1437,TRIPADVISOR INC,199356,@TripAdvisor,Blue
1438,PLEXUS CORP,012945,@PlexusCorp,Green
1439,AMERICAN STATES WATER CO,009849,@GoldenStateH2O,Green
1440,WEIGHT WATCHERS INTL INC,145308,@WeightWatchers,Blue
1441,EGL INC,061640,@cevalogistics,Green
1442,POLARIS INDUSTRIES INC,014311,@PolarisCareers,Green
1443,HECLA MINING CO,005560,@HeclaMining,Red
1444,BANKRATE INC,120458,@Bankrate,Blue
1445,AMERISAFE INC,164572,@amerisafeinc,Green
1446,ALBANY INTL CORP  -CL A,014084,@albint_corp,Green
1447,CHIPOTLE MEXICAN GRILL INC,165914,@ChipotleTweets,Blue
1448,OPTIONSXPRESS HOLDINGS INC,162175,@optionsXpress,Green
1449,CYTYC CORP,062336,@Hologic,Green
1450,GENCORP INC,005018,@AerojetRdyne,Green
1451,CHESAPEAKE CORP,002982,@Chesapeake,Blue
1452,GENESCO INC,005109,@GenescoInc,Green
1453,TAKE-TWO INTERACTIVE SFTWR,064630,@TAKE2_GAMES,Green
1454,MINERALS TECHNOLOGIES INC,025870,,N/A
1455,ENGILITY HOLDINGS INC,012413,@EngilityCorp,Green
1456,WATSCO INC,011313,@WatscoInc,Green
1457,EARTHLINK HOLDINGS CORP,062391,@EarthLink,Blue
1458,HELEN OF TROY LTD,005572,@HelenOfTroyLtd,Green
1459,UNIFIRST CORP,010840,@UniFirst_Corp,Green
1460,EAGLE MATERIALS INC,030032,@CiscoEagle,Green
1461,MESA AIR GROUP INC,013241,@MesaAirlines,Green
1462,MATTHEWS INTL CORP  -CL A,030477,,N/A
1463,COPART INC,029901,@copart,Green
1464,LONGVIEW FIBRE CO,006803,@KSPaper,Green
1465,DARLING INGREDIENTS INC,030651,,N/A
1466,AEGION  CORP,005978,@Aegion,Green
1467,BROWN SHOE CO INC,002436,@BrownShoe,Green
1468,AVOCENT CORP,064397,@Emerson_News,Green
1469,QORVO INC,064853,@QorvoInc,Green
1470,ENTERCOM COMMUNICATIONS CORP,117902,@Entercom,Blue
1471,THOR INDUSTRIES INC,010549,@THORIndInc,Green
1472,NATIONAL FINANCIAL PRTNRS CP,154056,,N/A
1473,TTM TECHNOLOGIES INC,139804,,N/A
1474,BALLY TECHNOLOGIES INC,012075,@Bally_Tech,Green
1475,IMATION CORP,063138,@ImationCorp,Green
1476,CLARCOR INC,003093,,N/A
1477,PALM INC,132502,@palm_inc,Green
1478,PMC-SIERRA INC,023943,@pmcsierra,Green
1479,RESPIRONICS INC,014385,@PhilipsResp,Green
1480,WADDELL&REED FINL INC  -CL A,066599,@Waddell_Reed,Green
1481,RUBY TUESDAY INC,007566,@rubytuesday,Blue
1482,ALPHARMA INC  -CL A,001034,,N/A
1483,DIGITAL RIVER INC,113362,@DigitalRiverInc,Green
1484,EDUCATION REALTY TRUST INC,161953,,N/A
1485,SKECHERS U S A INC,121142,@SKECHERSUSA,Green
1486,COMPASS MINERALS INTL INC,157153,@compassminerals,Red
1487,KRATON PERFORMANCE POLYMERS,166230,,N/A
1488,ENCORE CAPITAL GROUP INC,121815,@Encore_Capital,Green
1489,MSA SAFETY INC,007420,@MSA_Safety,Green
1490,CLAIRES STORES INC,003087,@ClairesStores,Blue
1491,CHEESECAKE FACTORY INC,025737,@Cheesecake,Blue
1492,RTI INTL METALS INC,016650,@Alcoa,Blue
1493,CONCUR TECHNOLOGIES INC,116787,@Concur,Blue
1494,FEI CO,031881,@feicompany,Green
1495,HILLENBRAND INC,179657,@HillenbrandInc,Green
1496,HNI CORP,005690,@HNIcareers,Green
1497,SALIX PHARMACEUTICALS LTD,062977,@SalixPharma,Green
1498,AMERICAN MEDICAL SYSTMS HLDS,138741,@bostonsci,Green
1499,ANN INC,021828,@AnnTaylor,Blue
1500,GREEN PLAINS INC,181269,@GPREINC,Green
1501,FRONTIER AIRLINES HOLDINGS,030231,@FlyFrontier,Blue
1502,SCHULMAN (A.) INC,009472,@ASchulmanInc,Green
1503,ROBBINS & MYERS INC,009173,@NOVGlobal,Blue
1504,KAMAN CORP,006326,@KamanDirect,Green
1505,BOB EVANS FARMS,002282,@BobEvansFarms,Green
1506,MKS INSTRUMENTS INC,119275,@mksinstruments,Green
1507,GENTEX CORP,005116,@Gentex_Corp,Green
1508,HEADWATERS INC,061576,,N/A
1509,STILLWATER MINING CO,031203,@StillwaterMine,Green
1510,MPS GROUP INC,030608,,N/A
1511,SAUL CENTERS INC,028769,,N/A
1512,NEWMARKET CORP,004462,,N/A
1513,CORINTHIAN COLLEGES INC,118121,,N/A
1514,KAPSTONE PAPER & PACKAGING,164680,@KSPaper,Green
1515,STRATASYS LTD,030847,@Stratasys,Green
1516,LONE STAR TECHNOLOGIES,006797,@LoneStarTechno,Green
1517,CKE RESTAURANTS INC,006346,@Hardees,Blue
1518,EVERCORE PARTNERS INC,174744,,N/A
1519,VIROPHARMA INC,064004,@VPHMcareers,Green
1520,INTEGRATED DEVICE TECH INC,006003,@IDTInc,Green
1521,TRIAD GUARANTY INC,029055,,N/A
1522,B&G FOODS INC,158743,@BG_Foods,Green
1523,INTERSTATE BAKERIES CORP,006140,@Hostess_Snacks,Blue
1524,NASH FINCH CO,007691,@turntospartan,Green
1525,BLACK BOX CORP,026012,@blackbox_ns,Green
1526,FEDERATED INVESTORS INC,066731,@federatednews,Green
1527,AMERICAN PHYSICIANS CAPITAL,141497,@doctorscompany,Green
1528,ORBITAL SCIENCES CORP,021496,@OrbitalATK,Green
1529,NATIONAL INSTRUMENTS CORP,031607,@NIglobal,Blue
1530,NEUSTAR INC,163629,@NeustarInc,Green
1531,RIVERBED TECHNOLOGY INC,174317,@riverbed,Green
1532,INTEGRA LIFESCIENCES HLDGS,061181,@integra_life,Green
1533,BOISE CASCADE CO,016486,@BoiseGSO,Green
1534,TITAN INTERNATIONAL INC,028295,,N/A
1535,HANGER INC,016456,@HangerNews,Green
1536,HYPERION SOLUTIONS CORP,061498,@Oracle,Blue
1537,GIBRALTAR INDUSTRIES INC,029131,,N/A
1538,KOMAG INC,013369,@WesternDigital,Blue
1539,TRADESTATION GROUP INC,065521,@tradestation,Green
1540,ESCO TECHNOLOGIES INC,023224,@ESCO_Tech,Green
1541,INVENTIV HEALTH INC,124050,@inVentivPR,Green
1542,ARCBEST CORP,001743,@ArcBestCorp,Green
1543,SRA INTERNATIONAL INC,147660,@SRAIntl,Green
1544,CONMED CORP,013623,@ConMedLinvatec,Green
1545,AIR METHODS CORP,013789,@AirMethodsCorp,Green
1546,POTLATCH CORP,008692,,N/A
1547,SCANSOURCE INC,029910,@ScanSourceInc,Green
1548,INTERVAL LEISURE GROUP,180395,,N/A
1549,AVIV REIT INC,180659,,N/A
1550,FURNITURE BRANDS INTL INC,006025,@LaneHomeFurn,Green
1551,MODINE MANUFACTURING CO,007486,@ModineHVAC,Green
1552,TORO CO,010618,@TheToroCompany,Green
1553,EDO CORP,004222,@ittcorp,Green
1554,OSI PHARMACEUTICALS INC,012180,,N/A
1555,CATALYST HEALTH SOLUTIONS,127439,@CatalystSolutio,Green
1556,CHECKPOINT SYSTEMS INC,002953,@CheckpointSys,Green
1557,NPC ACQUISITION HOLDINGS LLC,007761,,N/A
1558,BELL MICROPRODUCTS INC,028435,@Avnet,Green
1559,KORN/FERRY INTERNATIONAL,118267,@Korn_Ferry,Green
1560,ZEBRA TECHNOLOGIES CP  -CL A,024405,@ZebraTechnology,Blue
1561,IDEXX LABS INC,024197,@IDEXX,Green
1562,ASSOCIATED ESTATES RLTY CORP,029164,@FFResidential,Green
1563,GEN-PROBE INC,014186,@Hologic,Green
1564,MONSTER BEVERAGE CORP,024316,@MonsterEnergy,Blue
1565,APPLEBEES INTL INC,016665,@Applebees,Blue
1566,DRIL-QUIP INC,065671,@drillquip,Green
1567,JO-ANN STORES INC,004523,@JoAnn_Stores,Blue
1568,PLAYTEX PRODUCTS INC,014470,@PlaytexBaby,Blue
1569,GUITAR CENTER INC,064486,@guitarcenter,Blue
1570,MACDERMID INC,006908,@MacDermAutotype,Green
1571,CUBIC CORP,003639,@CubicDefense,Green
1572,AMEDISYS INC,030612,@amed235,Red
1573,APPLIED INDUSTRIAL TECH INC,002101,@Applied_Ind,Green
1574,IGATE CORP,064165,@IGATE_Corp,Green
1575,W-H ENERGY SERVICES INC,140569,@SchlumbergerBC,Green
1576,BUILDING MATERIALS HLDG CP,024415,,N/A
1577,HAEMONETICS CORP,024021,@HAEplasma,Green
1578,CHILDRENS PLACE INC,065430,@childrensplace,Blue
1579,FORESTAR GROUP INC,179077,@ForestarGroup,Red
1580,PIONEER ENERGY SERVICES CORP,009835,,N/A
1581,VARIAN INC,119216,@VarianMedSys,Green
1582,MOVIE GALLERY INC,030559,@MovieGalleryCom,Green
1583,SCHWEITZER-MAUDUIT INTL INC,061519,,N/A
1584,WMS INDUSTRIES INC,011509,@WMSGaming,Green
1585,UNDER ARMOUR INC,165052,@UnderArmour,Blue
1586,PSS WORLD MEDICAL INC,030161,@McKesson,Green
1587,M/I HOMES INC,012615,@mihomes,Green
1588,NAVIGANT CONSULTING INC,063724,@NavigantInsight,Green
1589,COHERENT INC,003157,@CoherentInc,Green
1590,GT ADVANCED TECHNOLOGIES INC,177895,@GTATCorp,Green
1591,PRA GROUP INC,150477,@PRAGroupCareers,Green
1592,BUCKEYE TECHNOLOGIES INC,061596,@GeorgiaPacific,Green
1593,PANERA BREAD CO,024113,@panerabread,Blue
1594,NCI BUILDING SYSTEMS INC,025130,@ncs4f8f1cac0d7,Red
1595,DIAMOND FOODS INC,163627,@DiamondFoods,Green
1596,RACKSPACE HOSTING INC,179925,@Rackspace,Blue
1597,ERA GROUP INC,187766,,N/A
1598,SUMMIT HOTEL PROPERTIES INC,185396,@SummitHotel_INN,Green
1599,KEMET CORP,025848,@KEMETCapacitors,Green
1600,GULFPORT ENERGY CORP,026069,@GulfportEnergy,Green
1601,EZCORP INC  -CL A,024430,@EZCORPspeaks,Green
1602,G&K SERVICES INC  -CL A,004936,@GKServices,Green
1603,ELECTRONICS FOR IMAGING INC,025774,@EFI_Print_Tech,Green
1604,TEKELEC,012212,@Tekelec,Green
1605,DIODES INC,003969,@DiodesInc,Green
1606,SPARTANNASH CO,028762,@turntospartan,Green
1607,IOWA TELECOM SERVICES INC,162336,,N/A
1608,PHOTRONICS INC,013200,@plab4f8efd1ccb,Red
1609,IPAYMENT INC,151832,@iPayment_Inc,Green
1610,SABRA HEALTH CARE REIT INC,185618,,N/A
1611,SIMPSON MANUFACTURING INC,030260,@strongtie,Green
1612,TIMBERLAND CO  -CL A,013554,@Timberland,Blue
1613,NTELOS HOLDINGS CORP,165845,@nTelos_Wireless,Green
1614,UNIVERSAL FOREST PRODS INC,029156,,N/A
1615,UNITED ONLINE INC,124198,@UnitedOnline1,Green
1616,GRACO INC,005252,@GracoInc,Green
1617,CYPRESS SEMICONDUCTOR CORP,012215,@CypressSemi,Green
1618,FRANKLIN ELECTRIC CO INC,004881,@Franklin_FELE,Green
1619,CYMER INC,063600,@CymerInc,Green
1620,TRIQUINT SEMICONDUCTOR INC,029386,@TriQuintSemi,Green
1621,TOOTSIE ROLL INDUSTRIES INC,010609,@TootsieRoll,Blue
1622,INTERDIGITAL INC,006100,@InterDigitalCom,Green
1623,DYCOM INDUSTRIES INC,004115,,N/A
1624,NEWPARK RESOURCES,007882,@NewparkDF,Green
1625,RES-CARE INC,026004,@ResCare,Green
1626,EFUNDS CORP,134144,@FISGlobal,Blue
1627,CHAMPION ENTERPRISES INC,002916,,N/A
1628,PROGRESS SOFTWARE CORP,024352,@ProgressSW,Green
1629,MILLER (HERMAN) INC,007401,@HermanMiller,Blue
1630,LIBBEY INC,028462,@Libbey_Glass,Green
1631,BRINKS HOME SECURITY HLDGS,181099,@PushPullRotate,Green
1632,JDA SOFTWARE GROUP INC,062399,@JDASoftware,Blue
1633,CERADYNE INC,002888,,N/A
1634,CHEMED CORP,002960,,N/A
1635,TECUMSEH PRODUCTS CO,010386,@Tecumseh_USA,Green
1636,VARIAN SEMICONDUCTOR EQUIPMT,119217,@Applied_Blog,Green
1637,SIERRA HEALTH SERVICES,009689,,N/A
1638,QLOGIC CORP,029791,@QLogic,Green
1639,NUVASIVE INC,264385,@NuVasiveInc,Green
1640,SILICON LABORATORIES INC,133288,@silaboratories,Green
1641,STAGE STORES INC,063874,@ShopStageStores,Green
1642,ACI WORLDWIDE INC,031564,@ACI_Worldwide,Green
1643,LANDSTAR SYSTEM INC,021440,@LandstarSystem,Green
1644,CONVERSANT INC,133547,@conversant,Green
1645,CSG SYSTEMS INTL INC,062266,@csg_i,Green
1646,INTREPID POTASH INC,179843,@IntrepidPotash,Green
1647,HARLAND (JOHN H.) CO,005476,,N/A
1648,MARVEL ENTERTAINMENT INC,031554,@Marvel,Blue
1649,SANDERSON FARMS INC,013323,@SandersonFarm,Red
1650,GREATBATCH INC,140073,,N/A
1651,RETAIL OPPORTUNITY INVTS CP,178539,,N/A
1652,ON ASSIGNMENT INC,025749,@oarecruiting,Green
1653,CENTRAL PARKING CORP,061404,@SPPlusCorp,Green
1654,POOL CORP,061420,@poolcorp,Green
1655,HARTE HANKS INC,012545,@hartehanks,Green
1656,PIER 1 IMPORTS INC/DE,008579,@pier1,Green
1657,INTERFACE INC,006034,@Interface_NA,Green
1658,SCHOOL SPECIALTY INC,111491,@SchoolSpecialty,Green
1659,PHARMERICA CORP,177924,@PharMerica,Red
1660,STEPAN CO,010056,,N/A
1661,G-III APPAREL GROUP LTD,019402,,N/A
1662,INTERMEC INC,065676,@IntermecSales,Green
1663,PAXAR CORP,008293,@AveryDennison,Green
1664,BUFFETS HOLDINGS INC,011815,,N/A
1665,CALLAWAY GOLF CO,024978,@CallawayGolf,Blue
1666,UNIVERSAL INSURANCE HLDGS,026016,,N/A
1667,VEECO INSTRUMENTS INC,011124,@VeecoGlobal,Green
1668,AMCOL INTERNATIONAL CORP,014182,@AMCOLcareers,Green
1669,THQ INC,024436,@THQ,Green
1670,KAYDON CORP,006357,@kaydon_bearings,Green
1671,NETGEAR INC,154039,@NETGEAR,Green
1672,CEC ENTERTAINMENT INC,015092,@CECCareers,Green
1673,HEALTHWAYS INC,024396,@Healthways,Green
1674,BANDAG INC,002008,@Bridgestone,Blue
1675,004608,FEDERAL SIGNAL CORP,@FederalSignalFR,Green
1676,025341,KRONOS INC,@KronosInc,Green
1677,185177,CORESITE REALTY CORP,@CoreSite,Green
1678,013407,WELLMAN INC,,N/A
1679,029015,DECKERS OUTDOOR CORP,,Green
1680,023810,ION GEOPHYSICAL CORP,@INOUTGEO,Green
1681,118502,CORPORATE EXECUTIVE BRD CO,@CEB_Insights,Green
1682,062602,SAPIENT CORP,@sapientnitro,Green
1683,006836,LUFKIN INDUSTRIES INC,@ge_oilandgas,Green
1684,062732,SYKES ENTERPRISES INC,@SYKES_Global,Green
1685,116526,CONEXANT SYSTEMS INC,@ConexantSystems,Green
1686,008582,SENECA FOODS CORP,,N/A
1687,063417,TELETECH HOLDINGS INC,@TeleTechCorp,Green
1688,145854,VIASYS HEALTHCARE INC,@viasyshealthcar,Red
1689,186336,C&J ENERGY SERVICES INC,@cjenergy,Green
1690,030310,CONSOLIDATED GRAPHICS INC,@cgc_conn,Green
1691,007022,MARCUS CORP,@gregmarcus,Blue
1692,031477,BROOKS AUTOMATION INC,@BrooksGlobal,Green
1693,061570,SECURE COMPUTING CORP,@IntelSec_Biz,Green
1694,023697,SONIC CORP,@sonicdrivein,Green
1695,003358,COMTECH TELECOMMUN,@ComtechET,Green
1696,061745,IMPAX LABORATORIES INC,,N/A
1697,183380,SEAHAWK DRILLING INC,,N/A
1698,138608,MEDICINES CO,@MDCONews,Green
1699,164422,DEALERTRACK TECHNOLOGIES INC,@Dealertrack,Green
1700,015459,TREDEGAR CORP,,N/A
1701,004340,EMULEX CORP,@Avagotech,Green
1702,010550,THORATEC CORP,@ThoratecJobs,Green
1703,008633,PLANTRONICS INC,@Plantronics,Green
1704,012262,ASTEC INDUSTRIES INC,@astecinc,Green
1705,065706,ABOVENET INC,@ZayoGroup,Green
1706,163113,KOPPERS HOLDINGS INC,,N/A
1707,062922,99 CENTS ONLY STORES,@99Only,Green
1708,062745,JAKKS PACIFIC INC,@JAKKStoys,Green
1709,135986,SCIELE PHARMA INC,,N/A
1710,024219,REHABCARE GROUP INC,@rehabcarejobs,Green
1711,003424,BIGLARI HOLDINGS INC,@notSardar,Green
1712,031224,ITT EDUCATIONAL SERVICES INC,@ITTTech,Green
1713,021244,MATRIA HEALTHCARE INC,,Green
1714,162386,FTD COMPANIES INC,@ftdflowers,Green
1715,025111,RARE HOSPITALITY INTL INC,,N/A
1716,030861,KNIGHT TRANSPORTATION INC,@DriveKnight,Green
1717,062378,HUB GROUP INC  -CL A,@HubGroup,Green
1718,023252,ETHAN ALLEN INTERIORS INC,@Ethan_Allen,Green
1719,025747,LITTELFUSE INC,@Littelfuse,Green
1720,121493,ARIBA INC,@SAPAriba,Green
1721,162264,NEENAH PAPER INC,@NeenahPaper,Green
1722,004251,ELKCORP,@elkcorp,Green
1723,147661,AEROPOSTALE INC,@Aeropostale,Green
1724,064323,SCPIE HOLDINGS INC,,Green
1725,025357,FINISH LINE INC  -CL A,@FinishLine,Green
1726,174567,INNOPHOS HOLDINGS INC,,N/A
1727,006543,LA-Z-BOY INC,@lazboy,Green
1728,160376,TEXAS ROADHOUSE INC,@texasroadhouse,Green
1729,002811,CASTLE (A M) & CO,@CastleMetals,Green
1730,009599,SEMTECH CORP,@SemtechCorp,Green
1731,006509,KULICKE & SOFFA INDUSTRIES,,N/A
1732,002448,MATERION CORP,@MaterionCorp,Green
1733,024708,ATLANTIC TELE-NETWORK INC,,N/A
1734,274165,GLOBE SPECIALTY METALS INC,,N/A
1735,183377,FORTINET INC,@Fortinet,Green
1736,145911,DJO INC,@DJOGlobal,Green
1737,181989,U S SILICA HOLDINGS INC,,N/A
1738,029278,MARTEK BIOSCIENCES CORP,@DSM,Green
1739,004768,FLEETWOOD ENTERPRISES INC,,N/A
1740,025859,EPICOR SOFTWARE CORP -OLD,@Epicor,Green
1741,002950,CHATTEM INC,,N/A
1742,064275,CAL-MAINE FOODS INC,@EgglandsBest,Green
1743,008675,POPE & TALBOT INC,,N/A
1744,029900,CIBER INC,@ciberinc,Green
1745,124775,CIRCOR INTL INC,@CIRCOR_IR,Green
1746,065607,OSI SYSTEMS INC,@OSISYSTEMS,Green
1747,030576,ADTRAN INC,@ADTRAN,Green
1748,028303,ELLIS PERRY INTL INC,@PEICorp,Green
1749,029647,SFN GROUP INC,,N/A
1750,062990,AFFYMETRIX INC,@Affymetrix,Green
1751,064302,INSPERITY INC,@Insperity,Green
1752,161040,HEARTLAND PAYMENT SYSTEMS,@HeartlandHPY,Green
1753,133432,WEBSENSE INC,@Forcepointsec,Green
1754,264397,CARDTRONICS INC,@Cardtronics,Green
1755,160785,VIAD CORP,,N/A
1756,030138,JOS A BANK CLOTHIERS INC,@JosABank,Green
1757,064103,POWERWAVE TECHNOLOGIES INC,@PowerwaveTech,Green
1758,011315,WAUSAU PAPER CORP,@WausauPaper,Green
1759,025665,LTC PROPERTIES INC,,N/A
1760,001056,AEROFLEX INC,@Cobham_plc,Green
1761,024725,WORLD ACCEPTANCE CORP/DE,,N/A
1762,116104,J CREW GROUP INC,@jcrew,Green
1763,160989,CALAMOS ASSET MANAGEMENT INC,@calamos,Green
1764,002870,CENTRAL VERMONT PUB SERV,,N/A
1765,010195,SUPERIOR INDUSTRIES INTL,@superiorind,Green
1766,003041,MILACRON INC,@Milacron,Green
1767,002271,BLOUNT INTL INC,@BlountCareers,Green
1768,063651,ROFIN SINAR TECHNOLOGIES INC,@ROFINuk,Green
1769,031843,HARMONIC INC,@HarmonicInc,Green
1770,026523,NYFIX INC,,N/A
1771,009225,ROLLINS INC,,N/A
1772,064901,MAXIMUS INC,@MAXIMUS_news,Green
1773,062686,CARBO CERAMICS INC,@carboproppant,Green
1774,063172,FACTSET RESEARCH SYSTEMS INC,@FactSet,Green
1775,156153,TESSERA TECHNOLOGIES INC,@tessera,Green
1776,015337,EMMIS COMMUNICATIONS CP-CL A,@EmmisComm,Green
1777,124254,OMNOVA SOLUTIONS INC,@OMNOVASolutions,Green
1778,116503,P F CHANGS CHINA BISTRO INC,@PFChangs,Green
1779,175007,ALLEGIANT TRAVEL CO,@Allegiant,Green
1780,160498,COGENT INC,@3M,Green
1781,007883,NEWPORT CORP,@NewportCorp,Green
1782,014561,II-VI INC,@iiviinc,Green
1783,005763,URSTADT BIDDLE PROPERTIES,@UrstadtBiddle,Green
1784,064766,RAMBUS INC,@rambusinc,Green
1785,009216,ROGERS CORP,@Rogers_Corp,Green
1786,005791,HUTCHINSON TECHNOLOGY INC,,N/A
1787,006573,LANCASTER COLONY CORP,,N/A
1788,142337,NORTHERN OIL & GAS INC,@mlreger,Green
1789,164755,CROCS INC,@Crocs,Green
1790,023587,HAYNES INTERNATIONAL INC,@HaynesIntl,Green
1791,064997,COMFORT SYSTEMS USA INC,@ComfortUSA,Green
1792,012403,FREDS INC,@FredsInc,Green
1793,180466,JOHN BEAN TECHNOLOGIES,@JBTCorporation,Green
1794,015414,BIO-TECHNE CORP,@biotechne,Green
1795,024704,INSURANCE AUTO AUCTIONS INC,@IAAauctions,Green
1796,122172,J2 GLOBAL INC,@j2global,Green
1797,016188,COGNEX CORP,@Cognex_Corp,Green
1798,177896,REX ENERGY CORP,@RexEnergyCorp,Green
1799,013354,VOXX INTERNATIONAL CORP,@VOXX_Intl,Green
1800,012669,CARMIKE CINEMAS INC,@CarmikeCinemas,Green
1801,179819,QUANEX BUILDING PRODUCTS,,N/A
1802,061562,ADVANCED ENERGY INDS INC,@AdvEnergy,Green
1803,008219,OXFORD INDUSTRIES INC,@OxfordGolfUSA,Green
1804,010000,STANDARD MOTOR PRODS,,N/A
1805,148470,RED ROBIN GOURMET BURGERS,@redrobinburgers,Green
1806,122778,TWEEN BRANDS INC,,N/A
1807,022207,TRUEBLUE INC,@TBStaffing,Green
1808,144520,AMN HEALTHCARE SERVICES INC,@AMNHealthcare,Green
1809,007250,MENTOR CORP,@MentorTXComm,Green
1810,264387,ANGIODYNAMICS INC,@angiodynamics,Green
1811,065554,POWER-ONE INC,,N/A
1812,022053,CONTANGO OIL & GAS CO,,N/A
1813,143605,MEDCATH CORP,,N/A
1814,189517,ENOVA INTERNATIONAL INC,@enova,Green
1815,121656,CYBERSOURCE CORP,@cybersourcenews,Green
1816,012840,HEARTLAND EXPRESS INC,@HeartlandExp,Green
1817,140759,IXIA,@IXIAcom,Green
1818,178798,APPROACH RESOURCES INC,,N/A
1819,190959,LUMOS NETWORKS CORP,@LumosNetworks,Green
1820,028917,MONACO COACH CORP,@monacocoach,Green
1821,113270,ECLIPSYS CORP,@Allscripts,Green
1822,009441,SBARRO INC,@Sbarro,Green
1823,175955,IPG PHOTONICS CORP,,N/A
1824,020747,TESCO CORP,@Tesco_Corp,Green
1825,163893,MWI VETERINARY SUPPLY,,N/A
1826,029085,CREDENCE SYSTEMS CORP,,N/A
1827,010839,UNIFI INC,,N/A
1828,116772,BLUCORA INC,@Blucora,Green
1829,126615,BLUE COAT SYSTEMS INC,@BlueCoat,Green
1830,065570,AMER ITALIAN PASTA CO  -CL A,,N/A
1831,025874,PETROQUEST ENERGY INC,,N/A
1832,029870,OLYMPIC STEEL INC,@Olympic_Steel,Green
1833,120048,HEIDRICK & STRUGGLES INTL,@HSIItweets,Green
1834,150481,SAIA INC,@Saia_Inc,Green
1835,029621,MODUSLINK GLOBAL SOLUTIONS,@ModusLink,Green
1836,007951,MOVADO GROUP INC,@Movado,Green
1837,024878,PDL BIOPHARMA INC,@pdli4f8f1af647,Red
1838,014309,INTER PARFUMS INC,@interparfums,Green
1839,005149,GETTY REALTY CORP,,N/A
1840,011213,VOLT INFO SCIENCES INC,@VoltJobs,Green
1841,007636,MYERS INDUSTRIES INC,@MYEInc,Green
1842,122255,ALLSCRIPTS HLTHCR SOLTNS-OLD,@Allscripts,Green
1843,064304,COLDWATER CREEK INC,@ColdwaterCreek,Green
1844,025777,CARAUSTAR INDUSTRIES INC,,N/A
1845,029274,ATMI INC,,N/A
1846,001633,ANALOGIC CORP,@AlogSecurityCT,Green
1847,133726,CABOT MICROELECTRONICS CORP,@CabotMicroCorp,Green
1848,064346,EPIQ SYSTEMS INC,@EpiqSystems,Green
1849,029382,MADDEN STEVEN LTD,@SteveMadden,Red
1850,001686,APOGEE ENTERPRISES INC,@apogeeglass,Green
1851,013025,ADVO INC,@AdvoCompanies,Green
1852,134164,WEBEX COMMUNICATIONS INC,@WebEx,Green
1853,024720,WABASH NATIONAL CORP,@WabashNational,Green
1854,028145,WIND RIVER SYSTEMS INC,@WindRiver,Green
1855,178201,VITAMIN SHOPPE INC,@VitaminShoppe,Green
1856,010044,STEEL TECHNOLOGIES INC,@SteelTech_NA,Green
1857,025572,ENCORE WIRE CORP,,N/A
1858,012256,STEEL EXCEL INC,@SteelExcelInc,Red
1859,140027,HYDRIL CO,,N/A
1860,022829,O'CHARLEY'S INC,@OCharleys,Green
1861,180562,ROADRUNNER TRANS SVCS HLDGS,@RRTS_Careers,Green
1862,065317,KENDLE INTERNATIONAL INC,,N/A
1863,012825,J & J SNACK FOODS CORP,@JJSnackFoods,Green
1864,012189,X-RITE INC,@XRiteColor,Green
1865,028524,DELTA & PINE LAND CO,@DELTAPINE,Green
1866,111103,MARINEMAX INC,@MarineMax,Green
1867,142814,SYNAPTICS INC,@SynaCorp,Green
1868,002818,CATO CORP  -CL A,@CatoFashions,Green
1869,009999,STANDARD MICROSYSTEMS CORP,,N/A
1870,024350,MONRO MUFFLER BRAKE INC,@MonroMB,Green
1871,010008,STANDEX INTERNATIONAL CORP,@StandexMeder,Green
1872,030219,BLYTH INC,,N/A
1873,160211,DOMINO'S PIZZA INC,@dominos,Green
1874,001926,AZZ INC,@AZZincorporated,Green
1875,015291,HARVEST NATURAL RESOURCES,,N/A
1876,178803,ENSIGN GROUP INC,,N/A
1877,002346,BOWNE & CO INC,,N/A
1878,004390,ENNIS INC,@ennisstyling,Red
1879,184392,GREEN DOT CORP,@greendotcards,Green
1880,027925,AVID TECHNOLOGY INC,@Avid,Green
1881,185584,EXAMWORKS GROUP INC,@ExamWorksIS,Green
1882,002577,CTS CORP,@CTS_corporation,Green
1883,026037,HMS HOLDINGS CORP,@HMSHealthcare,Green
1884,007504,MGI PHARMA INC,,N/A
1885,160600,SYMMETRY MEDICAL INC,,N/A
1886,187105,WAGEWORKS INC,@WageWorks,Green
1887,013406,CALGON CARBON CORP,@CalgonCarbonCCC,Green
1888,064896,RC2 CORP,,N/A
